internal_id,id_text,tr_oracc,tr_cdli
1,P362523,1(aš),1(asz)
2,P362523,še,sze
3,P362523,gur,gur
4,P362523,ki,ki
5,P362523,i₃-kal-la,i3-kal-la
6,P362523,nam-lugal-ni-du₁₀,nam-lugal-ni-du10
7,P362523,šu,szu
8,P362523,ba-ti,ba-ti
9,P362523,iti,iti
10,P362523,dal,dal
11,P362523,mu,mu
12,P362523,{d}i-bi₂-{d}suen,{d}i-bi2-{d}suen
13,P362523,lugal,lugal
14,P362523,nam-lugal-ni-du₁₀,nam-lugal-ni-du10
15,P362523,dub-sar,dub-sar
16,P362523,dumu,dumu
17,P362523,ur-dun,ur-dun
18,P362523,ugula,ugula
19,P293371,1(diš),1(disz)
20,P293371,ma-na,ma-na
21,P293371,ku₃-babbar,ku3-babbar
22,P293371,1(diš),1(disz)
23,P293371,ma-na,ma-n
24,P293371,ṣi₂-ṣu₂-na-aw-ra-at,"s,i2-s,u2-na-aw-ra-at"
25,P293371,1/2(diš),1/2(disz)
26,P293371,ma-na,ma-na
27,P293371,a-ra₂,a-ra2
28,P293371,1(diš)-kam,1(disz)-kam
29,P293371,1/2(diš),1/2(disz)
30,P293371,ma-na,ma-na
31,P293371,šu-bu-lum,szu!?-bu-lum
32,P293371,1(diš),1(disz)
33,P293371,ma-na,ma-na
34,P293371,lu₂-{d}nanna,lu2-{d}nanna
35,P293371,2(u),2(u)
36,P293371,sar,sar
37,P293371,sa-a-lum,sa-a-lum
38,P293371,1(diš),1(disz)
39,P293371,1/2(diš),1/2(disz)
40,P293371,sar,sar
41,P293371,dingir-bi-ni,dingir-bi-ni
42,P293371,1(u),1(u)
43,P293371,3(diš),3(disz)
44,P293371,sar,sar
45,P293371,en-num-{d}da-mu,en-num-{d}da-mu
46,P293371,5(diš),5(disz)
47,P293371,gin₂,gin2
48,P293371,dingir{+lum}-ma,dingir{+lum}-ma
49,P293371,7(diš),7(disz)
50,P293371,sar,sar
51,P293371,{d}da-mu-gal-zu,{d}da-mu-gal-zu
52,P293371,1(u),1(u)
53,P293371,5(diš),5(disz)
54,P293371,du-ku-i₃-din,du-ku-i3-din
55,P293371,1(u),1(u)
56,P293371,gin₂,gin2
57,P293371,i-ṣi₂-sa-re-e,"i-s,i2-sa-re-e"
58,P293371,1/3(diš),1/3(disz)
59,P293371,ma-na,ma-na
60,P293371,en-um-{d}suen,en-um-{d}suen
61,P293371,1(iku),1(iku)
62,P293371,GAN₂,GAN2
63,P293371,1(u),1(u)
64,P293371,sar,sar
